Date,SecurityInBan
2010-09-22,IFCI
2010-09-22,KFA
2010-09-22,ORCHIDCHEM
2010-09-23,ISPATIND
2010-09-23,KFA
2010-09-23,IFCI
2010-09-23,COREPROTEC
2010-09-24,ORCHIDCHEM
2010-09-24,ISPATIND
2010-09-24,IFCI
2010-09-24,COREPROTEC
2010-09-24,KFA
2010-09-27,NAGARFERT
2010-09-27,COREPROTEC
2010-09-27,ICSA
2010-09-27,IFCI
2010-09-27,ISPATIND
2010-09-27,ABAN
2010-09-27,SUZLON
2010-09-27,ORCHIDCHEM
2010-09-28,NAGARFERT
2010-09-28,ORCHIDCHEM
2010-09-28,ISPATIND
2010-09-28,ICSA
2010-09-28,COREPROTEC
2010-09-28,ABAN
2010-09-28,SUZLON
2010-09-29,ABAN
2010-09-29,SUZLON
2010-09-29,RELMEDIA
2010-09-29,ORCHIDCHEM
2010-09-29,NAGARFERT
2010-09-29,ISPATIND
2010-09-29,COREPROTEC
2010-09-29,ICSA
2010-09-30,SUZLON
2010-09-30,RELMEDIA
2010-09-30,COREPROTEC
2010-09-30,NAGARFERT
2010-09-30,ISPATIND
2010-09-30,ICSA
2010-09-30,KFA
2010-10-01,COREPROTEC
2010-10-01,ORCHIDCHEM
2010-10-01,KFA
2010-10-04,ORCHIDCHEM
2010-10-04,COREPROTEC
2010-10-06,RELMEDIA
2010-10-06,IFCI
2010-10-06,JINDALSWHL
2010-10-07,KFA
2010-10-07,JINDALSWHL
2010-10-07,IFCI
2010-10-08,ESSAROIL
2010-10-08,ORCHIDCHEM
2010-10-08,PUNJLLOYD
2010-10-08,JINDALSWHL
2010-10-08,NAGARFERT
2010-10-11,ORCHIDCHEM
2010-10-11,JINDALSWHL
2010-10-11,PUNJLLOYD
2010-10-11,ISPATIND
2010-10-11,ESSAROIL
2010-10-11,NAGARFERT
2010-10-12,ORCHIDCHEM
2010-10-12,COREPROTEC
2010-10-12,ISPATIND
2010-10-12,JINDALSWHL
2010-10-12,ESSAROIL
2010-10-12,PUNJLLOYD
2010-10-12,RELMEDIA
2010-10-12,EKC
2010-10-13,COREPROTEC
